Timestamp	Compilation Time	Code Cache Size	Perm Gen Size	Invocations/s
1376436637417	65365	19021696	523429200	163.31
1376436638418	65365	19021696	523781712	160.53
1376436639418	65365	19021696	524186448	163.92
1376436640419	65365	19021696	524497616	163.73
1376436641419	65365	19021696	524880592	162.89
1376436642420	65365	19021696	525239632	161.83
1376436643420	65365	19021696	525583440	163.58
1376436644421	65365	19021696	525925072	161.94
1376436645422	65365	19021696	526268880	160.72
1376436646422	65365	19021696	526640976	160.40
1376436647423	65365	19021696	527000016	159.50
1376436648423	65365	19021696	527341648	159.69
1376436649424	65365	19021696	527712728	163.59
1376436650425	65365	19021696	528092368	160.13
1376436651425	65365	19021696	528442704	163.13
1376436652426	65365	19021696	528836560	162.99
1376436653427	65365	19021696	529178192	160.77
1376436654428	65365	19021696	529491536	160.78
1376436655429	65365	19021696	529852752	157.06
1376436656430	65365	19021696	530183504	160.30
1376436657430	65365	19021696	530549072	158.71
1376436658430	65365	19021696	530942928	162.33
1376436659431	65365	19021696	531258448	157.97
1376436660431	65365	19021696	531648856	162.38
1376436661432	65365	19021696	532000464	160.76
1376436662433	65365	19021696	532350800	158.93
1376436663434	65365	19021696	532679376	157.66
1376436664434	65365	19021696	533038416	159.04
1376436665435	65365	19021696	533341136	159.40
1376436666436	65365	19021696	533749968	158.81
1376436667437	65365	19021696	534111184	161.31
1376436668437	65365	19021696	534487632	161.81
1376436669438	65365	19021696	534846672	163.23
1376436670438	65365	19021696	535201360	163.14
1376436671439	65365	19021696	535558896	161.76
1376436672440	65365	19021696	535891152	158.01
1376436673441	65365	19021696	536248704	163.00
1376436674594	65365	19021696	536591824	162.72
1376436676403	65365	19021696	7525280	127.85
1376436677403	65365	19021696	7939872	133.96
1376436678404	65365	19021696	8322848	142.80
1376436679404	65365	19021696	8736288	152.34
1376436680405	65365	19021696	9114912	153.27
1376436681405	65365	19021696	9550112	161.72
1376436682406	65365	19021696	9983136	166.11
1376436683407	65365	19021696	10387872	168.94
1376436684408	65365	19021696	10799136	173.44
1376436685408	65365	19021696	11223456	177.05
1376436686408	65365	19021696	11619488	177.88
1376436687409	65365	19021696	12032928	176.57
1376436688409	65365	19021696	12459424	180.80
1376436689410	65365	19021696	12859808	178.53
1376436690411	65365	19021696	13210144	176.76
1376436691411	65365	19021696	13634464	177.24
1376436692412	65365	19021696	13989152	175.98
1376436693412	65365	19021696	14424352	177.77
1376436694412	65365	19021696	14831264	180.54
1376436695413	65365	19021696	15264000	181.35
1376436696413	65365	19021696	15634208	180.89
1376436697414	65365	19021696	16015008	177.18
1376436698414	65365	19021696	16469792	182.04
1376436699415	65365	19021696	16831008	180.56
1376436700415	65365	19021696	17268384	181.83
1376436701416	65365	19021696	17647008	178.97
1376436702417	65365	19021696	18053920	182.85
1376436703417	65365	19021696	18452128	181.59
1376436704418	65365	19021696	18813344	179.08
1376436705418	65365	19021696	19237664	178.91
1376436706419	65365	19021696	19620640	180.25
1376436707419	65365	19021696	20036256	180.46
1376436708420	65365	19021696	20443168	179.40
1376436709420	65365	19021696	20850080	182.62
1376436710421	65365	19021696	21293984	184.53
1376436711421	65365	19021696	21679136	186.27
1376436712422	65365	19021696	22107808	183.92
1376436713423	65365	19021696	22538656	185.78
1376436714432	65365	19021696	22912928	182.35
1376436715433	65365	19021696	23326368	184.31
1376436716433	65365	19021696	23720224	183.73
1376436717433	65365	19021696	24109728	184.27
1376436718434	65365	19021696	24525344	183.26
1376436719434	65365	19021696	24923552	181.07
1376436720435	65365	19021696	25295648	177.92
1376436721435	65365	19021696	25722144	180.32
1376436722445	65365	19021696	26107296	178.93
1376436723446	65365	19021696	26516384	180.71
1376436724446	65365	19021696	26910240	180.84
1376436725447	65365	19021696	27344384	181.87
1376436726448	65365	19021696	27732768	182.17
1376436727448	65365	19021696	28089632	179.05
1376436728448	65365	19021696	28472608	178.42
1376436729449	65365	19021696	28877344	179.44
1376436730450	65365	19021696	29334304	182.21
1376436731451	65365	19021696	29736864	183.74
1376436732451	65365	17068800	29987104	169.52
1376436733452	65365	17068800	30135072	151.97
1376436734452	65365	17068800	30228640	130.89
1376436735453	65365	17068800	30372256	120.13
1376436736453	65365	17068800	30535456	111.94
1376436737453	65365	16148416	30648608	103.18
1376436738454	65365	16148416	30790048	93.37
1376436739454	65365	16148416	30935840	88.68
1376436740454	65365	16148416	31031584	82.57
1376436741455	65365	16148416	31177376	76.83
1376436742456	65365	15277696	31342752	76.56
1376436743456	65365	15277696	31421088	68.87
1376436744459	65365	15277696	31597344	70.50
1376436745460	65365	15277696	31671328	64.59
1376436746460	65365	15277696	31819296	63.98
1376436747461	65365	14477952	31875872	58.73
1376436748461	65365	14477952	32006432	58.34
1376436749462	65365	14477952	32130464	60.28
1376436750462	65365	14477952	32230560	55.74
1376436751465	65365	14477952	32369824	56.62
1376436752465	65365	13073024	32465568	57.38
1376436753466	65365	13073024	32611360	55.61
1376436754466	65365	13073024	32709280	55.77
1376436755467	65365	13073024	32837664	54.74
1376436756467	65365	13073024	32909472	50.42
1376436757469	65365	11907648	33018272	53.17
1376436758470	65365	11907648	33144480	53.16
1376436759470	65365	11907648	33309856	54.56
1376436760470	65365	11907648	33383840	50.24
1376436761471	65365	11907648	33529632	52.38
1376436762472	65365	11048896	33605792	53.32
1376436763472	65365	11048896	33718944	50.02
1376436764473	65365	11048896	33853856	51.17
